"TYPE","SUB_TYPE","CODE","UPDATE_ALLOWED","MANUAL","TRANSFERRED","TRANSFER_DATE","TRANSFER_FILE_NAME","CREATION_DATE","CREATED_BY","ATTRIBUTE1","ATTRIBUTE2","ATTRIBUTE3","ATTRIBUTE4","ATTRIBUTE5","ATTRIBUTE6","ATTRIBUTE7","ATTRIBUTE8","ATTRIBUTE9","ATTRIBUTE10","ATTRIBUTE11","ATTRIBUTE12","ATTRIBUTE13","ATTRIBUTE14","ATTRIBUTE15","ATTRIBUTE16","ATTRIBUTE17","ATTRIBUTE18","ATTRIBUTE19","ATTRIBUTE20","ATTRIBUTE21","ATTRIBUTE22","ATTRIBUTE23","ATTRIBUTE24","ATTRIBUTE25","ATTRIBUTE26","ATTRIBUTE27","ATTRIBUTE28","ATTRIBUTE29","ATTRIBUTE30","ATTRIBUTE31","ATTRIBUTE32","ATTRIBUTE33","ATTRIBUTE34","ATTRIBUTE35","ATTRIBUTE36","ATTRIBUTE37","ATTRIBUTE38","ATTRIBUTE39","ATTRIBUTE40","ATTRIBUTE41","ATTRIBUTE42","ATTRIBUTE43","ATTRIBUTE44","ATTRIBUTE45","ATTRIBUTE46","ATTRIBUTE47","ATTRIBUTE48","ATTRIBUTE49","ATTRIBUTE50","ATTRIBUTE51","ATTRIBUTE52","ATTRIBUTE53","ATTRIBUTE54","ATTRIBUTE55","ATTRIBUTE56","ATTRIBUTE57","ATTRIBUTE58","ATTRIBUTE59","ATTRIBUTE60"
"01","SALES03","354-15576-60-1123120","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","26/08/2016 13:02:54","15576","200","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15204-74-1135439","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","21/09/2016 11:47:29","15204","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-14514-3-1052648","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","14/04/2016 14:29:23","14514","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15077-34-1108162","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Tân Thắng","Thôn Hàm Thắng, xã Tân Thắng, huyện Hàm Tân, tỉnh Bình Thuận, Viêt Nam","VietGAP","27/07/2016 09:03:50","15077","1","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15496-53-1118704","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","17/08/2016 09:21:49","15496","135","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15576-62-1124252","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","27/08/2016 14:45:21","15576","250","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15578-66-1127728","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","05/09/2016 12:34:11","15578","230","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15341-39-1110971","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","02/08/2016 15:21:42","15341","90","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15494-44-1112360","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","05/08/2016 13:34:58","15494","270","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01","SALES03","354-15494-46-1115962","N","N","Y","2016/11/18 01:47:31","NOVA_TRUYXUAT_20161118_014731.csv","2016/11/09 00:13:48","NHANNH","Trại Bưng Riềng","xã Bưng Riềng, huyện Xuyên Mộc, tỉnh Bà Rịa Vũng Tàu, Việt Nam","VietGAP","12/08/2016 12:43:10","15494","180","2070","CÔNG TY CỔ PHẦN ANOVA FEED","165849","","","","","354","Trụ sở chính","0312540579","315 Nam Kỳ Khởi Nghĩa, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","ANOVA FARM JOINT STOCK COMPANY","315 Nam Ky Khoi Nghia, Quarter 07, District 3, Ho Chi Minh City, Viet Nam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
